song,artist
Pray (Album Version),Damita
Back Then,BoDeans
Call Me,Mint Condition
Scrap,Tin Hat Trio
Zearocks (LP Version),Leaders Of The New School
Milkcow Blues (Album Version),We Five
I Won't Lie,The Twinkle Brothers
The Four Big Ones (Essential Authors And Works),Black Debbath
La polka des grenouilles,Serge Desaunay
Put On Your Rubbers,Fast Eddie
Le système solaire,SANSHIRO
Quiero Ser Tu Sueño,Andy & Lucas
Becoming (LP Version),Lennie Tristano
You Were The One (Wide Wide World Album Version),Erin O'Donnell
MY HERIONE (Acoustic Version),Silverstein
Il fait déjà (Live),Claire Elzière
So(u)l Invictus,Nightfall
Marbles,Spunk
Fat Albert's Car,Bill Cosby
Cielito lindo,Mariachi Silvestre Vargas
For All We Know,Ann Hampton Callaway
Game Night (Album Version),Bill Engvall
Har vi råd att i dagens läge ha kvar våra vänner i socialgrupp 3?,Gösta Ekman / Tage Danielsson
Leskiäidin tyttäret,The Avengers
Turn Your Eyes Upon Jesus,Kathy Troccoli
Knowing You'll Be There,Gaither Vocal Band
Rock Steady,Bad Company
Over the Rainbow,The Golden Age Orchestra_ Paul Summer 
The Moon Was Yellow,Russ Morgan
Boda de Oro,Orquesta America
Darling_ I Want To Destroy You,AFI
De rien,Les Ogres De Barback
On Probation,Youves
Unworthy of His Love,Oak Ridge Boys
Armageddon's Raid,Belphegor
Let It Be Me,Dionne Warwick
As Nice As I Can Be,Eagles Of Death Metal
Oh ! Tannenbaum,Bimbo Band
The People You Care For,John Ottman
The Original Colossal Drag Rag,The Even Dozen Jug Band
Abu-Pia,Papa Wemba
El Gatito,Los Cumbieros Del Sur
Superman,Unwritten Law
The End Is Near (LP Version),Leaders Of The New School
Little Things,Streetwize
From Now Until Then,Marshall Crenshaw
Harmonia,Pitch Black
Alfil_ Ella No Cambia Nada,Luis Alberto Spinetta
Eeshwar,Niraj Chag
Josephine,Chris Rea
Don't Be Deceived,The Winans
Love In Time,Esperanza Spalding / Leo Genovese
Oversleeping,themselves
Murphy Lee,Murphy Lee / Zee
Addison Faceplant,ZTrip
Let's Wrap Up,Roy Roberts
Pass Me Not (LP Version),Fernando Ortega
We Three Kings,The Roches
Plaisance-Fox,Emile Vacher
The End. [Live In Mexico],My Chemical Romance
Sleepy Man Blues,Bukka White
I Go to the Rock,The Rambos
It's Personal,Lennie Tristano
Misty Blue,Billie Jo Spears
Main Street Eyes,Iggy Pop
East to West,Starski and Clutch
Can't Make You Love Me,Britney Spears
Piracy,Tanya Chua
So Danco Samba (Jazz 'N' Samba) (1997 Digital Remaster),Wanda De Sah
The Story Goes On,The Steeles
You Never Wash Up After Yourself (Live),Radiohead
Tu Mejor Amigo,David Summers
Magali,Gloria Lasso
Night Terrors (Album Version),Static-X
Here We Are,Dallas Holm
Guns And The Young,Mighty Mighty Bosstones
Jesus Loves Me (Now More Than Ever),Russ Taff
Me quedo sin ti,Julio Iglesias Jr.
Judgement Begins With The House Of God,STEVE CAMP
Bonjour,Jacques Douai
Lo Decidio,Orquesta Aragon
I got A Woman,Eddie Boyd
Vida De Mi Vida,Banda La Bocana
Jam-Master Jammin',RUN-DMC
Love Don't Love Me (Justin Timberlake) (Amended Version),Justin Timberlake
Medley: Safe To The Rock / Hiding In Thee,George Hamilton IV
The Carrying Arms,The Antlers
We Blame Love,Heaven 17
Pills (Dub) (Dub),Cedric Gervais feat. Second Sun
Un Gran Vacio,Michael Salgado
On The Wing,Owl City
Yo Yo Man (Garter Belt),Tony Joe White
Remember (The Beauty Of Simplicity Album Version),Telecast
Murder In The Graveyard,Screaming Lord Sutch
The Door,Keb' Mo'
Automatic,Less Than Jake
You're My First Lady,T.G. Sheppard
I Don't Wanna be a War Hero,Anti-Flag
Nocturne For Piano No. 5 In B Flat Major_ Op. 37,David Jalbert
Snapshot Samurai,Her Majesty's Finest
True Love,Tyrone Taylor
Bestio Tergum Degero Pt. 3,Pelt
Introitus: Requiem: Dies Irae,Kuijken Kwartet
Hold On,The Jason Bonham Band
We Got What You Want,Busta Rhymes
Kick_ Push II (Album Version),Lupe Fiasco
Christmas Won't be the Same Without Johnny,Dr. Elmo
Ma Préférence (Live),Julien Clerc
Jahuu_ Gandiva laulaa!,Sabda Brahma
Más Y Más,Mazz
Itinerario,Clementina De Jesus
Stephanie Says,The Velvet Underground
90er,Headliners
Say Goodbye,Barry Manilow
Music And Politics,The Disposable Heroes Of Hiphoprisy
Free (lp),Big Audio Dynamite
Fleur De Paris,Jean Marc Thibault
After All The Love Is Gone,Alias
Under The Weather,KT Tunstall
Origins And Endings,Winds Of Plague
Sincérité (feat. Ludo),Leila Chicot
Your Revolution Is A Joke,Funeral For A Friend
CrossBreed,Sound Field
Neon Psychedelia,Sweet
I'm Blue (LP Version),The Rascals
Q Loop,Basic Channel
Make It Last,The Ataris
Human Being,The New York Dolls
Kuolema Tekee Taiteilijan,Nightwish
Immigrant Song (Album Version),Led Zeppelin
Bside,Various Production
Please Love Me,B.B. King
The Power Of,Nora
Good Morning Captain,The Black Crowes
Twist Y Gritos (Twist & Shout),Los Fabulosos Cadillacs
Having A Little Talk With Jesus,Brenda Lee
Festival Of Holi,Brian Tyler
Ain't She Sweet,The Beatles / Tony Sheridan
Words- Till the mornin' comes Mix,Liquid Spill
Coffee Blues,Mississippi John Hurt
No Love To Give (LP Version),The Rascals
Reefer Head Woman,Aerosmith
Jumke,Sukshinder Shinda
Lost in Marrakesh with Entropik (Pathaan's Mirage Mix),Ancient Astronauts
Le Bug (Live 2005),M
Estimate,Slum Village
Brooklyn On A Saturday Night,Neil Diamond
Volvere,OV7
El Gato Confite,María Elena Walsh
Mua rakastan,Murskahumppa
It Gwine Dreada,The Twinkle Brothers
When There's A Will_ There's A Way,Jimmy Johnson
Da Da Da Da,Tha Liks
Quan Tou Tang,Miriam Yeung
TU MIRADA,Antonio Koudele
Marrakech,Juan Carmona; Ricardo Larroze
Sunday In Marin,Chris Camozzi
Hurry Up And Come,Cocoa Tea
Touch Your Button Carnival Jam,Wyclef Jean featuring will.i.am and Melissa Jiménez;Wyclef Jean featuring Machel Montano_ Daniela Mercury_ Black Alex_ and Djakout Mizik
Ballroom Floor,Dennis Brown
Music In Dreamland,Be Bop Deluxe
Ole Con Ole,Peret
Goodnight Irene,Kingston Trio
Mom,Josh Mullins
All The Way,Joey McIntyre
East Bay Bounce,Paul Taylor
Forever,VHS Or Beta
Teska (Teska),Greek Gypsy Musicians
One Night Alone,Vixen
Why,Kol Simcha
Infant Dreams,Bill Douglas
Baila Cariño,Pete Bamboo
Beauty Supply And Demand,Busdriver
I Will Turn Your Money Green (Take 1),Furry Lewis
To Sir With Love,Lady Saw
Sauer,Klimperei
Superstar (feat. J-Noxx),Hollowtip
Heart's Grown Cold (LP Version),Blackfoot
Signs Can Hear All,Ciaran Byrne
Genius Of Love 2002 (featuring Tom Tom Club & Biz Markie),X-ecutioners featuring Tom Tom Club & Biz Markie
Falling Apart,Dario Marianelli
Is It Love,3 of Hearts
Deep Blue,Dave Eggar
L.S.M.,Year of Desolation
High On the Mountain,The Del McCoury Band
Llorando Por Amor,Flor Silvestre
Cycle Time,Liars
New Milk Cow Blues,Moon Mullican
Transmission (Album Version),Static-X
The last havoc,Necrodaemon
Cry Of My Heart,Wayne Watson
We're Not Gonna Bow,Jeff And Sheri Easter
In Hell (Album Version),A Perfect Murder
Stand By Me,Atomic Rooster
Mefistofele/Spunta... l'aurora pallida...,Michèle Crider;Vincenzo La Scola;Samuel Ramey;Riccardo Muti
Va Por Usted,Rocio Jurado
Ralph's Rhapsody,Ray Lynch
Up Jumped The Devil - Live,Clarence Gatemouth Brown
Love & Understanding,Lady Saw
We Are The Ones (Lounge Version),Zombie Girl
He Was Here,Scott Krippayne
¡Hola_ Pequeño Ser!,Pescado Rabioso
BOOM!!!,Albin Myers
Soda Pop,John Fogerty
Don't Stop,Scweez
Everybody's Someone (Gateway Mix),Leann Rimes & Brian McFadden
You Were There,Fläskkvartetten / Daniel Bellqvist
Kissing Game,2XL
Un Minuto Contigo (One Moment),Edmundo Ros
Other Side of You,DJ Harry
Tennessee Central Number Nine,Pee Wee King
It Must Be Everywhere (Complete Version),Nazz
Mon Legionnaire,Marcel Azzola
Everyday Struggle (Bonus),Agency 1.9.9.4
I Know Where I Am Now,Jake Hess
Fly Away (Instrumental),HardNox
Falling Stars,Desert Dwellers
Chicago Bound Blues,Bessie Smith
Papa Legba (2005 Digital Remaster),Talking Heads
Herz an herz (Live Version),Paso Doble
The Lakes Of Pontchartrain,Planxty
Liquid Mercury,Jimmy Page
Suburban Living,Yuppie Pricks
Waitin' For The Wind,Spooky Tooth
Psalm 27,Donnie McClurkin
Badrock City,Big Audio Dynamite
Serenata,Tranzas
Live Then Lay,Naughty By Nature featuring Phiness
Start Me Up,The Rolling Stones
Got The Blues,Blind Lemon Jefferson
Turn Yourn Radio On,Andy Griffith
Marvel Hill,The Cardigans
Lucky Fellow - Original,Leroy Hutson
C'est pour vous que je chante,Les Hou-Lops
Mr. Crump,Mum
Mi Vida Se Pinto De Gris,Yndio
So Long (Originally Performed by Abba),The Meatmen
Love Is What We Make It,Kenny Rogers
Donnez-nous des jardins,Pierre Perret
Raindrops Keep Falling On My Head,David Arkenstone
Brown Eyed Girl,The Sonics_ Charlie & The Tunas
New Round And Round,Casey Bill Weldon
Let's Get High (Yves Larock Radio Edit w Rap),Anane
50_000 Miles Beneath My Brain (Live),Ten Years After
DJs Are The New Rockstars-Live Mashup Mix 7,DJ Godfather
Stainless Steel Gamelan,John Cale
Estoy Aquí,Shakira
Michael Nobody aka Poetic Death,Snowgoons
Mirame A La Cara (Version Salsa),Andy & Lucas
22 Going On 23,Butthole Surfers
Liian vähän aikaa,Fredi
Private Dancer,Heavy D
Shake That Thang,DJ Omega
Lappi Pt IV Etiäinen,Nightwish
American Girl,Brooke Valentine
Red Castle,Pumpkin Buzzard
Baby Mama,Camp Lo
Party Favours (Dee Dee's Flukey Remix),Bionikworld
The Carnival  feat. Japjit Kaur,Niraj Chag
learn (Album Version),One Be Lo
Feverish,Spitfire
Keep Walking,The Wilburns
Syrup Sipping (Banner Beat Break),David Banner
Xenophobic Hate Machine,Bodies In the Gears of the Apparatus
Is It Wrong,Warner mack
COLD MORNING,Portobello
Parabolics Studies 6,Henri Pousseur
4 Words (To Choke Upon),Bullet For My Valentine
How It Begins,Ice & Breeze
Ella Speed,Rick Ross
Chatma,Tinariwen
Lay All Your Love On Me (LP Version),Information Society
The way to Peace,Uman
LOVESICK - Obsession in ¾ Time,Philippe Sarde
All Alone (Live),Gorillaz
Llegaste Tú,Huey Dunbar
Pobre diabla (Directo 09),Carlos Baute
Wake Up Call (Album Version),The Prodigy
The Object Of My Affection,Russ Morgan
Where Are You?,Arthur Tracy
Big World,David Saylor
Zambele (1997 Digital Remaster),Clara Nunes
Please Come Out Tonight,Phil Collins
Jesus Is the Lord,Andrae Crouch
World Comes Tumblin' Down,The Distillers
Carita De Rosa,Gertrudis
Cierra Los Ojos Y Juntos Recordemos - Original,Yolandita Monge
Love Is Gone (Eddie Thoneick's Liberte Mix),David Guetta - Joachim Garraud - Chris Willis
Slipping Away/Here Is Kazmeyer,Information Society
The Unidentified Flying Object,Perrey And Kingsley
Destroy Everything (Album Version),Hatebreed
Hired Security,The Harvard Lampoon Comedians
The Gre(A)t Depression,Anti-Flag
Comfort Creek,Barbara Fairchild
See You in the Morning,Pam Thum
L'Ardechoise Aux Cheveux Blanc,Alain Turban
Loud & Clear (featuring Defari_ King T & Butch Cassidy),Xzibit
Writes Of Winter,Jimmy Page
Pedazo De Idiota,Mercedes Castro
Pokrusa,Lili Ivanova
Freaxxx,brokeNCYDE
Bro. Bill  (LP Version),Cactus
Two of a Kind_ Workin' on a Full House,Hushabye Baby
Don't Mess With the IRS,Dr. Elmo
Roses,Silverchair
My Love,Irish Tenors
The Cool (Amended Album Version),Lupe Fiasco
Chanson D'Amour,Jean-Jacques Goldman;Edith Lefel;Malavoi
Le Droit Des Pères (Live Electrique),Cali
Long Way From Home,The Vaughan Brothers;Stevie Ray Vaughan;Jimmy Vaughan
Alla Mot Alla,Kent
Raw Power,Iggy And The Stooges
Head Banger,EPMD
I'm Chillin,Kurtis Blow
Strip The Soul (album version),Porcupine Tree
Come Dance With Me,The Token
Nuestras Sevillanas 1,Los Del Rio
Te Quiero Mas,The Party Group
Sangria (Nomadbrothers Remix feat. Rio),Tania Maria
One Moment With You,Jackie Wilson
The Lord's Prayer,Dario Marianelli
La Blessure,Eric Demarsan
Free,Darwin Hobbs
It Ain't No Use,Jimmy McCracklin
Red Gun,The Forms
I Want You,Sophie B. Hawkins
Malice,Behemoth
Tuck That Sh*t,Messy Marv
Arco Arena,Cake
Why Don't You Do Right (Album Version),Jim Kweskin with Samoa Wilson
Ride Out Dip,Crucial Conflict
Baby Please Don't,Tampa Red
Stop The World,RIDDLIN' KIDS
Wo Ai Ni_ Zai Jian!,Sammi Cheng
Nostalgia for Infinity,Jonn Serrie
Things I Don't Understand,Coldplay
Mi Gitana (feat. The Dey),Los Del Rio_ The D.E.Y.
A Piece Of My Heart,Gang Of Four
You Are Everything,Regina Belle
I Can't Rest,Fontella Bass
Pictures To Prove It,The Mighty Mighty Bosstones
Love Island (LP Version),Eumir Deodato
Hold On (Album Version),The Rance Allen Group
Show Some Love Where Is The Love feat. MackaB,Carroll Thompson
Like I Never Loved Before,Phil Vassar
Dying Under A Binary Star,Crematorium
Brivdiena,Intars Busulis
Man No Sober (LP Version),Steel Pulse
Fear Factor (Shiny Happy Jihad),Joe Rogan
Inti Guauqui,Jorge Alfano
I Don't Love You Anymore,George Jones
Sudenkorento -Life On Mars-,Hector
Titan,The Bongo Man
Dancing With Tears In My Eyes 2004 (Nova Mix (Club Version)),Novaspace
Carolan's Concerto,The Chieftains
Blues All Around My Bed,Precious Bryant
Paper Thin,Leona Naess
Another Day Another Night,Klubbingman feat. Beatrix Delgado
Gloria (In The Name Of Love Album Version),Audio Adrenaline
The Preacher,The Bronx Horns
Cafe deClouet,Galactic
Man Smart Woman Smarter,Robert Palmer
Shen Lai,Dylan Kuo
Principe Nino,Gonzalo Rubalcaba
Two of a Kind,Frost
Gangsta Lean (Gangstapella),D.R.S.
Credits,Pete Miser
Bed Of Roses,Warrant
Every You Every Me (Infected By The Scourge Of The Earth),Placebo
First Day (Album version),Timo Maas
Jole Brun,Harry Choates
Celluloid Heroes,Bon Jovi / Ray Davies
Wives ( LP Version ),Bill Cosby
Youll Rue The Day,Spade Cooley
Bonita,Barbara Lusch
Fly Talkin',Lil Wayne
Indo,Studio
Losing track,You Should Go Ahead
Eleanor,Low Millions
Linoleum (live),NOFX
The Drug Suite,Stew
Was wollen wir noch mehr?,Die Fantastischen Vier
Final Solution,Blanks77
(eskomolto),Pagan Wanderer Lu
Bad Man Story,Beenie Man
Child Support,DJ Nasty
Il N'Etait Pas Sentimental,Line Renaud
Turn It Up,Devine and emilyPLAY
Rolo Le Baroudeur,Julien Clerc
Job's Defiance,Don Francisco
Chasing Windmills,Heavy D
Slipping Away,Vivian
Thriller (Album),Singing Melody
All Night Worker,Dave Alvin
Coward,Hoods
No Reply (Demo),Buzzcocks
Long Lonesome Blues,Blind Lemon Jefferson
Nature Boy,Quadro Nuevo
Lonely Shooting Stars,Sandy Lam
Where You Think You're Goin'?,Darryl Worley
Unsafe Sextet/Gilded Hearts of Booklovers,Busdriver
Haunt Me (Album Version),Wednesday 13
Test 72,Mush
Intro / Stay All Night_ Stay A Little Longer,Hawkshaw Hawkins
Entre Gris Clair Et Gris Foncé (Live),Jean-Jacques Goldman
One Of These Days,Mike Bloomfield
Con La Misma Tijera,Los Originales De San Juan
Freak,Stephen Pearcy
Tirador (Carlos Jean Remix),Hevia
Rock Island Blues,Furry Lewis
Ocean Size (Album Version),Goldfinger
No Ordinary Love (Remastered LP Version),Deftones
Des voiliers (Sur un poème de Claude Nougaro),Richard Galliano
Wait And Bleed [Demo],Slipknot
"Messiaen : Et exspecto resurrectionem mortuorum : IV ""Ils ressusciteront_ glorieux_ avec un nom nouveau",Pierre Boulez
The Last Thing I Need,Big Mike Griffin
Bury Me,Ashes to Ashes
Evigne,Dobet Gnahoré
I Remember/Great Is Thy Faithfulness,Kathy Troccoli with Aaron Jeoffrey
Head Gone/Wine Up Uh Self (Album Version),Elephant Man
Getting Closer,Cocoa Tea
Tough Guy,Open Hand
Healing,Blessid Union Of Souls
Bubble Music,Cam'Ron
Flesh And Blood,Mary Black
Total Vision,David Tao
Good Friend,James Horner
Lo Siento En Mi Corazón,Luis Alberto Spinetta
Yellow Brown,Jesus Jones
Buckle Down (2002 Digital Remaster),Red Hot Chili Peppers
( Gone With the Wind) Bonnies Fatal Pony Ride,Max Steiner
Number One Girl,Glen Washington
Filosofia Pura,Gal Costa / Maria Bethânia
My Ship Is Comin' In,Walter Jackson
Fractured Quantum,Ace Frehley
De Do Do Do_ De Da Da Da,The Police
Free Love,Long Beach Dub Allstars
Pastel,Richard Smith
Qu Ni De Hun Li,Candy Lo
Smoke In The Air (A Cappella),C.L. Smooth
Red Sails In The Sunset,Arthur Tracy
IRM,Charlotte Gainsbourg
Kapitel 4,Oliver Kalkofe
20.000 Seconds,K's Choice
Look Thru My Eyes,DMX
(The Best Part Of) Breakin' Up,The Ronettes
Cedar and Clay (World),R. Carlos Nakai
Kathe Mera Kathe Nihta (2005 Digital Remaster),Dakis
Èay! Que Pena,Los Chunguitos
In Di Car Back (Album Version),Mavado
Sugar Coated Sour,The Dillinger Escape Plan
Let's Start All Over,The Cate Brothers
Harald: Trinkhalleluja,Bülent Ceylan
Il Y A Une Question (Live),Cali
Cannibal (Dance Mix),Reel Big Fish
Ferrous Carbonate Mass,Kali
Spider's Nest Blues,Memphis Jug Band
I Will Hear (Psalm 85),John Michael Talbot
Hoes & Discos,Non Stop DJs
Harmony,Jesse Malin
Funky Medley,Jeff Scott Soto
It's Surprising What the Lord Can Do,The Del McCoury Band
Quiet Nights Of Quiet Stars [Corcovado] [The Frank Sinatra Collection],Frank Sinatra
Hotel,Cassidy featuring R. Kelly
Tour De France Étape 3 (2009 Digital Remaster),Kraftwerk
Mein Herz kann man nicht kaufen,Gall_ France
Angel In Hell,Doug MacLeod
If This Is The End,Jeff Scott Soto
Climax ft St. Cyr,K.A.L.I.
Beginning Of The End,Cockney Rejects
Skinny Woman (Gravel Road Woman),David Evans
Tonight,Swami
Jean Dominique Intro,Wyclef Jean
Latin Flute,Deodato
Shameful (LP Version),Atreyu
Nite Life (Sound Factory Version),Kim English
These Old Eyes Have Seen It All,George Jones
"The Killing Of Dumbledore (""Harry Potter & The Half-Blood Prince"")",Nicholas Hooper
My Old Man Boogie,The Reverend Peyton's Big Damn Band
All Purpose Experiment,Controlled Dissonance
Music For The Head,Porcupine Tree
None Missing,Birdapres
Trybal,Stargarden
Night Time Blues,Ma Rainey
Time / Confusion,Arthur Brown
Fuck You,Mister Ries
Dirty Harry (Single Edit),Gorillaz
A Soldiers Intro,(hed) p.e.
Sadness,Mavado
Feelings Gone (feat. Sam Sparro) (Joachim Garraud Remix),Basement Jaxx
Slow Hand (LP Version),Conway Twitty
Corazon Clandestino,Fito Paez
Tristeza (Brazilian Blues),Luiz Bonfa / Oscar Castro Neves / Lalo Schifrin
With a Little Dub From My Friends (feat. Luciano and U Roy),Easy Star All-Stars
Molly Darling,Eddy Arnold
Sicilienne (by Francis Poulenc),Laura Leon
Sweet Remedy,Jennifer Brown
I'm Mad,EPMD
Thrones And Dominions (Album),Earth
De belles,Théophil
When Me A Move,Capleton
4 Minutes [Featuring Justin Timberlake and Timbaland] [Bob Sinclar Space Funk Remix],Madonna
"Medley : ""Traces"" (Live)",Jean-Jacques Goldman
I Love The Life I'm Living,Slim Harpo
Fruity Woman,Doc Pomus
Tranceplant,Organ Donors
Times Like These [Live From Red Rocks],Jack Johnson
Stone a Pig,Bongzilla
Skiff For The Suits,Arsonists Get All The Girls
House Of Sin,Leeroy Stagger
Rude!/Drum Solo,Humble Pie
Rebuliço,Gabriel Grossi
On The Road Again,The Sonics
It Must Be Me,X (Australia)
City Headache,Scott Matthews
25 Variations And Fugue On A Theme By G.F. Handel For Piano_ Op. 24: Variation XXII,Solomon
Ain't Gonna Do That No More,Blind Blake
78 Stimulator,Stimulator
Mi Lindo Amor,Jay Pérez
Narrative #2,Michael Bloomfield
I Can't Be Your Man,Porter Wagoner
Playing James Mason,Mel Blanc
Sag es sag es feat. Neo,Samy Deluxe
Money Didn't Change Me,Three 6 Mafia
Mon dieu,Josélito
Virtuous Woman,Warrior King
Happy Safari,Bert Kaempfert
Lado A Lado (Bomba Carnaval Mix),Fulanito
Rock Me,Santana
Separate Ways,Agnostic Front
Ballin' (Radio),Big Rich
Hua Yu Ai Li Si,Miriam Yeung
Cherry,UFO
Dead End Street,Foghat
En La Tierra Caliente,Tam Tam Go!
Everybody's Gonna Be Happy,Queens Of The Stone Age
I'm Just Raw (prod Dan the Automator) Main,Lyrics Born
valid,Riamiwo
Got You Moving,DJ DLG feat. MC Flipside
Threadbare Gypsy Soul,Pat Green
Bluesanova,Daddy Dog
All Things Must Pass (2009 Digital Remaster),George Harrison
Lil Brother (LP Version),King Curtis
Manhã de Carnaval (Morning of the Carnaval) (Cantando As Músicas do Film Orfeo do Carnaval),João Gilberto
Stuff Like That,James Last
Are You The One?,The Presets
Two Lights [Bonus Track],Joe Lynn Turner
Peace And Quiet Time,Gonzalo Rubalcaba
Porcelaine,Benabar
Irreplaceable,Toby Love
Two Ruffles & Flourishes / General's March,US Coast Guard Band
Funny,Streetwize
She Runs,Jimmy Wayne
Cheer,Descendents
Wear Your Love Like Heaven / Workin' On A Groovy Thing (Medley) (1997 Digital Remaster),David Rose
Don Carlo (2000 Digital Remaster): Tu che le vanità (Elisabetta),Montserrat Caballé/Orchestra of the Royal Opera House_ Covent Garden/Carlo Maria Giulini
All Dressed Up,Aram Shelton
Where To Hide?,Monomonkey
Viimeiset hitaat,Kaija Koo
Javalon,Constance Demby
Le Récit De Cassard,Maurice Larcange
Marine's hymn,The Sun Harbor's Chorus-Documentary Recordings
Junk,Photek
Heaven And Hell (Part II),Vangelis
1 - 800 - Quiereme - Remix,Luisito Rosario
Dancing The Night Away,The Motors
Auf die Fresse_ fertig_ los,ÄI-TIEM
Apostasie,Konexion
Programmed to Consume,Abysmal Dawn
The Things You Do,Slum Village
When Horsepower Meant What It Said,Sandi Thom
Let Me In,The Fabulous Thunderbirds
El Tirabuzón,Tito Rodriguez
Body,Dj Kali
At the Club,DJ X-Change featuring DJ Omega
He Took A Cab To Neptune,Art Ensemble Of Chicago
Call Me Lightning,Flamin' Groovies
The Whole World Looking At Me (Explicit LP Version),Busta Rhymes
Michael A Grammar,Broadcast
Winds of Change,The Insects
Walk In The Light,The American Boychoir
Beyond The Reef,The King Sisters
Primordial Breath,Eluveitie
Then Came You,Boogie Pimps
The Arctic Ocean (Album Version),Sinch
Steel Guitar Rag,Alvino Rey And His Orchestra
6 A.M. Funk,Disco D
Green Mind,Dinosaur Jr
New D.B.A. Blues,Josh White
Scream On Em,The Game
Walking Miracle,Vanessa Bell Armstrong
I'm Alive (BT & Sasha Mix),Seal
Now Is A Needy Time,David Evans
Les Psys,Les Malpolis
Je me sens bien pasta fagioli,Chatelaine
Dieter's Theme,Klaus Badelt
Thrill Pistol,Tigertailz
Peaches (Fear of Theydon remix),Dub Pistols feat. Rodney P & Terry Hall
La Pieuvre,Lara
Freezin' From The Inside Out,John Sebastian
Maga Dog/ Skanky Dog (Album),Peter Tosh & Winston Scotland
Escape From The Underrealm,Tilman Sillescu
Bleeds In Blue (Album Version),Home Town Hero
Mi Corazón Y Mi Mente,Bobby Pulido
I've Been Working on the Railroad,Laurie Berkner
Amazing,George Michael
Peanuts,Little Joe & The Thrillers
Gaffo's Ball,Sharon Shannon
I Can Dig It,The Box Tops
Boy & Girl (Feat. Fiona Daniel),Serpentine
You Make Our Shack A Mansion,Grandpa Jones
Concede,Sister Hazel
Slatke male maloletnice,Beogradski Sindikat
Djungelstadt,Sonic Subjunkies
Don't Treat Me Bad,Firehouse
Southern Jukebox Music (Live) (2001 Digital Remaster),Penguin Café Orchestra
When I Left Home,Champion Jack Dupree
Fall in Philadelphia,Hall & Oates
Hala_ Tumba And Timbal,Airto Moreira
I've Been Trying,Archie Bell and The Drells
Juana Democracia / Calipso Del Tlc,Los Nakos
Tainted Love feat. Tatz,NG3
Curse Of Sound (Dub Mix),Vuneny
Ida Red,Bob Willis
Midnight Lovers,Wyclef Jean
Constructing the Absence,Sub Swara
Giant Steps,Gonzalo Rubalcaba
Serenata de un gaitero,Gran Coquivacoa_ Neguito Borjas
The Kid's Last Night (heaven is in the mountain),Abner Burnette
Praz Him (Broken Album Version),Darwin Hobbs
The Song Remains The Same (2007 Remastered Album Version),Led Zeppelin
Everything In Its Right Place,Radiohead
Shoot The Dog,George Michael
Confiar Es Perder,Los Jaigüey
I'll Be Home When I Can,Charlie Louvin
Eat Or Get Ate,Tum Tum
The Aba Daba Honeymoon,Kitty Kallen
Requiem Mass in D Minor_ K. 626: VIII. Lacrimosa dies illae,Vienna Concert House Orchestra_ Wiener Sängerknaben_ Ferdinand Grossmann
Better Life,3 Doors Down
House Full Of Bullets,Joe Satriani
"Of Love & War (""Harry Potter & The Half-Blood Prince"")",Nicholas Hooper
These Foolish Things,Fixx_ The
Peppermint Patty (LP Version),Vince Guaraldi
Everything Man (Album Version),Talib Kweli
Never Gonna Give You Up,Musical Youth
Percussio Livre,Grupo Batuque
Unwanted,Avril Lavigne
Blue Orchid,The White Stripes
Elizabeth Story_ et al._ Honeybabe_ Your Papa Cares For You,Elizabeth Cotten
Eduardo,Sapo
Why Can't This Be Love (Remastered Version),Van Halen
Campane,Livio Minafra
Josy,Nicolas Bacchus
Ethiopian Anthem,Ras Michael and the Sons of Negus
Second Hand Rose,Roy Drusky
Pray The I Miss,Hinge
Could This Be Love,Leroy Hutson
When They Ring The Bells Of Heaven,The Perrys
Ayudame Freud,Ricardo Arjona
Einleitung,Kurt Tepperwein
Because Of You (Album Version),Unwritten Law
Les Reves D´enfants,Monty
I'm Against It/Horse Feathers,The Marx Brothers
Békási táncdallamok,Muzsikas
Falling Down [Live Acoustic],Muse
Will You Be There? (Live Version),Cindy Morgan
I Know You Got Soul,Eric B. & Rakim
La danse des petits amis,Oui Oui
Boogaloo Wow,Mongo Santamaria
Army Of Me (Album Version),Chimaira
Control It (Album Version),Static-X
Loud Up!!,The Mad Capsule Markets
Everybody,Goose
Fishing Blues,Jim Kweskin_ The Jug Band
Be Elevator,Virus
A Guy What Takes His Time En Anglais,Marlene Dietrich
New Kind Of Mambo,Big Maybelle
Amor De Lejos,Lara & Reyes
She Hui Ge (Movie 2nd Song - Love Undercover 3),Fiona Sit
Aulis Gerlander,Jope Ruonansuu
Is It Clean (Ethereal - Progressive),The Gone Jackals
So Still (Album Version),Danny Wright
I Talk To The Trees,Danny Williams
Yksinäisin,Solistiyhtye Suomi
This is How It Goes (Timmy Trumpet Remix),Goldfish
Nana,Marilyn Horne
Mallorca_ Op.202 - transcr. Marc Switzer,Pepe Romero
El Perro,Juana Molina
It Is No Secret (What God Can Do),Tammy Wynette
Never My Love,Kathy Troccoli
Your Love,Mikey Dread
As Mist Lay Silent Beneath,Keep Of Kalessin
Henrys Death,BT
Ducktails - Moon,The Advantage
Act One: Rise and Fall - From the Ashes (I. Chapter One / II. Chapter Two),Orenda
Bata 6/8,Tito Puenté
Give It All You Got,DJ Primo
The Way Love Is,Captain Hollywood Project
Eres Tu,Mongo Santamaria
Kumal & Sangha,Nick Ingman
Back On My New S*** (feat. Tre Williams),Styles P
Shy Boy (1999 Digital Remaster),Tomorrow
Al maestro,El Barrio
